año;distrito;barrio;total;españoles
1 de enero de 2018;01. Centro;01. Centro;132.352;103.218
1 de enero de 2018;01. Centro;011. Palacio;22.515;18.660
1 de enero de 2018;01. Centro;012. Embajadores;44.630;33.354
1 de enero de 2018;01. Centro;013. Cortes;10.531;8.218
1 de enero de 2018;01. Centro;014. Justicia;16.578;13.168
1 de enero de 2018;01. Centro;015. Universidad;30.897;24.422
1 de enero de 2018;01. Centro;016. Sol;7.201;5.396
1 de enero de 2018;02. Arganzuela;02. Arganzuela;152.907;138.346
1 de enero de 2018;02. Arganzuela;021. Imperial;22.719;21.201
1 de enero de 2018;02. Arganzuela;022. Acacias;36.751;34.346
1 de enero de 2018;02. Arganzuela;023. Chopera;19.799;17.229
1 de enero de 2018;02. Arganzuela;024. Legazpi;19.252;17.934
1 de enero de 2018;02. Arganzuela;025. Delicias;27.473;24.468
1 de enero de 2018;02. Arganzuela;026. Palos de la Frontera;25.748;22.072
1 de enero de 2018;02. Arganzuela;027. Atocha;1.165;1.096
1 de enero de 2018;03. Retiro;03. Retiro;119.011;110.602
1 de enero de 2018;03. Retiro;031. Pacífico;33.601;30.803
1 de enero de 2018;03. Retiro;032. Adelfas;18.345;17.161
1 de enero de 2018;03. Retiro;033. Estrella;23.238;22.379
1 de enero de 2018;03. Retiro;034. Ibiza;21.472;19.346
1 de enero de 2018;03. Retiro;035. Los Jerónimos;7.075;6.409
1 de enero de 2018;03. Retiro;036. Niño Jesús;15.280;14.504
1 de enero de 2018;04. Salamanca;04. Salamanca;145.268;127.075
1 de enero de 2018;04. Salamanca;041. Recoletos;15.756;13.265
1 de enero de 2018;04. Salamanca;042. Goya;29.604;25.797
1 de enero de 2018;04. Salamanca;043. Fuente del Berro;20.747;18.437
1 de enero de 2018;04. Salamanca;044. Guindalera;41.259;37.113
1 de enero de 2018;04. Salamanca;045. Lista;20.956;18.146
1 de enero de 2018;04. Salamanca;046. Castellana;16.946;14.317
1 de enero de 2018;05. Chamartín;05. Chamartín;144.894;131.729
1 de enero de 2018;05. Chamartín;051. El Viso;17.145;15.331
1 de enero de 2018;05. Chamartín;052. Prosperidad;36.522;32.988
1 de enero de 2018;05. Chamartín;053. Ciudad Jardín;18.487;16.399
1 de enero de 2018;05. Chamartín;054. Hispanoamérica;31.373;29.272
1 de enero de 2018;05. Chamartín;055. Nueva España;24.496;22.286
1 de enero de 2018;05. Chamartín;056. Castilla;16.871;15.453
1 de enero de 2018;06. Tetuán;06. Tetuán;155.967;127.810
1 de enero de 2018;06. Tetuán;061. Bellas Vistas;28.750;22.444
1 de enero de 2018;06. Tetuán;062. Cuatro Caminos;34.254;29.416
1 de enero de 2018;06. Tetuán;063. Castillejos;20.363;17.371
1 de enero de 2018;06. Tetuán;064. Almenara;22.421;19.436
1 de enero de 2018;06. Tetuán;065. Valdeacederas;25.571;20.145
1 de enero de 2018;06. Tetuán;066. Berruguete;24.608;18.998
1 de enero de 2018;07. Chamberí;07. Chamberí;138.418;123.605
1 de enero de 2018;07. Chamberí;071. Gaztambide;22.666;20.278
1 de enero de 2018;07. Chamberí;072. Arapiles;24.335;21.739
1 de enero de 2018;07. Chamberí;073. Trafalgar;24.523;21.472
1 de enero de 2018;07. Chamberí;074. Almagro;19.799;17.263
1 de enero de 2018;07. Chamberí;075. Ríos Rosas;27.049;24.174
1 de enero de 2018;07. Chamberí;076. Vallehermoso;20.046;18.679
1 de enero de 2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;242.928;223.680
