año;distrito;barrio;Total;mujer;hombre
1 de enero de 2018;Ciudad de Madrid;Ciudad de Madrid;1.278.258;116.921;114.806
1 de enero de 2018;01. Centro;01. Centro;66.411;11.695;13.210
1 de enero de 2018;01. Centro;011. Palacio;11.196;1.854;1.982
1 de enero de 2018;01. Centro;012. Embajadores;21.888;3.857;4.348
1 de enero de 2018;01. Centro;013. Cortes;5.425;990;1.121
1 de enero de 2018;01. Centro;014. Justicia;8.371;1.448;1.785
1 de enero de 2018;01. Centro;015. Universidad;15.803;2.908;3.134
1 de enero de 2018;01. Centro;016. Sol;3.728;638;840
1 de enero de 2018;02. Arganzuela;02. Arganzuela;64.576;7.488;6.666
1 de enero de 2018;02. Arganzuela;021. Imperial;9.615;1.081;911
1 de enero de 2018;02. Arganzuela;022. Acacias;15.376;1.710;1.341
1 de enero de 2018;02. Arganzuela;023. Chopera;8.497;911;760
1 de enero de 2018;02. Arganzuela;024. Legazpi;7.488;828;900
1 de enero de 2018;02. Arganzuela;025. Delicias;11.471;1.317;1.226
1 de enero de 2018;02. Arganzuela;026. Palos de la Frontera;11.708;1.598;1.487
1 de enero de 2018;02. Arganzuela;027. Atocha;421;43;41
1 de enero de 2018;03. Retiro;03. Retiro;48.504;4.417;3.815
1 de enero de 2018;03. Retiro;031. Pacífico;14.628;1.567;1.298
1 de enero de 2018;03. Retiro;032. Adelfas;7.577;806;709
1 de enero de 2018;03. Retiro;033. Estrella;8.622;414;402
1 de enero de 2018;03. Retiro;034. Ibiza;9.238;1.054;811
1 de enero de 2018;03. Retiro;035. Los Jerónimos;2.810;230;288
1 de enero de 2018;03. Retiro;036. Niño Jesús;5.629;346;307
1 de enero de 2018;04. Salamanca;04. Salamanca;62.613;8.088;6.397
1 de enero de 2018;04. Salamanca;041. Recoletos;6.674;943;852
1 de enero de 2018;04. Salamanca;042. Goya;13.171;1.813;1.335
1 de enero de 2018;04. Salamanca;043. Fuente del Berro;9.169;1.166;830
1 de enero de 2018;04. Salamanca;044. Guindalera;17.513;2.038;1.643
1 de enero de 2018;04. Salamanca;045. Lista;9.222;1.230;937
1 de enero de 2018;04. Salamanca;046. Castellana;6.864;898;800
1 de enero de 2018;05. Chamartín;05. Chamartín;57.829;5.945;5.133
1 de enero de 2018;05. Chamartín;051. El Viso;6.060;508;505
1 de enero de 2018;05. Chamartín;052. Prosperidad;15.842;1.807;1.464
1 de enero de 2018;05. Chamartín;053. Ciudad Jardín;7.899;917;769
1 de enero de 2018;05. Chamartín;054. Hispanoamérica;12.281;1.153;987
1 de enero de 2018;05. Chamartín;055. Nueva España;9.164;950;832
1 de enero de 2018;05. Chamartín;056. Castilla;6.583;610;576
1 de enero de 2018;06. Tetuán;06. Tetuán;65.822;8.132;7.563
1 de enero de 2018;06. Tetuán;061. Bellas Vistas;11.767;1.399;1.338
1 de enero de 2018;06. Tetuán;062. Cuatro Caminos;14.866;1.817;1.658
1 de enero de 2018;06. Tetuán;063. Castillejos;9.266;1.204;1.146
1 de enero de 2018;06. Tetuán;064. Almenara;9.286;1.048;1.046
1 de enero de 2018;06. Tetuán;065. Valdeacederas;10.494;1.352;1.241
1 de enero de 2018;06. Tetuán;066. Berruguete;10.143;1.312;1.134
1 de enero de 2018;07. Chamberí;07. Chamberí;61.491;8.379;6.812
1 de enero de 2018;07. Chamberí;071. Gaztambide;10.359;1.396;1.133
1 de enero de 2018;07. Chamberí;072. Arapiles;11.137;1.584;1.191
1 de enero de 2018;07. Chamberí;073. Trafalgar;11.622;1.899;1.538
1 de enero de 2018;07. Chamberí;074. Almagro;8.033;959;917
1 de enero de 2018;07. Chamberí;075. Ríos Rosas;12.014;1.609;1.333
1 de enero de 2018;07. Chamberí;076. Vallehermoso;8.326;932;700
1 de enero de 2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;89.552;6.110;6.203
1 de enero de 2018;08. Fuencarral-El Pardo;081. El Pardo;1.317;87;91
1 de enero de 2018;08. Fuencarral-El Pardo;082. Fuentelarreina;1.107;56;47
1 de enero de 2018;08. Fuencarral-El Pardo;083. Peñagrande;16.860;1.060;1.016
1 de enero de 2018;08. Fuencarral-El Pardo;084. Pilar;19.413;1.493;1.340
1 de enero de 2018;08. Fuencarral-El Pardo;085. La Paz;12.541;559;452
1 de enero de 2018;08. Fuencarral-El Pardo;086. Valverde;22.497;1.768;2.064
1 de enero de 2018;08. Fuencarral-El Pardo;087. Mirasierra;10.333;622;673
1 de enero de 2018;08. Fuencarral-El Pardo;088. El Goloso;5.484;465;520
1 de enero de 2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;45.219;3.878;3.864
1 de enero de 2018;09. Moncloa-Aravaca;091. Casa de Campo;5.575;503;557
1 de enero de 2018;09. Moncloa-Aravaca;092. Argüelles;10.373;1.231;1.209
1 de enero de 2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.103;507;534
1 de enero de 2018;09. Moncloa-Aravaca;094. Valdezarza;12.093;971;845
1 de enero de 2018;09. Moncloa-Aravaca;095. Valdemarín;1.868;133;150
1 de enero de 2018;09. Moncloa-Aravaca;096. El Plantío;844;35;51
1 de enero de 2018;09. Moncloa-Aravaca;097. Aravaca;8.363;498;518
1 de enero de 2018;10. Latina;10. Latina;94.600;6.671;6.813
1 de enero de 2018;10. Latina;101. Los Cármenes;6.518;468;522
1 de enero de 2018;10. Latina;102. Puerta del Ángel;17.385;1.776;1.733
1 de enero de 2018;10. Latina;103. Lucero;13.969;972;1.007
1 de enero de 2018;10. Latina;104. Aluche;26.505;1.481;1.387
1 de enero de 2018;10. Latina;105. Campamento;7.340;464;544
1 de enero de 2018;10. Latina;106. Cuatro Vientos;2.180;295;340
1 de enero de 2018;10. Latina;107. Águilas;20.703;1.215;1.280
1 de enero de 2018;11. Carabanchel;11. Carabanchel;94.780;7.446;7.308
1 de enero de 2018;11. Carabanchel;111. Comillas;9.470;860;819
1 de enero de 2018;11. Carabanchel;112. Opañel;13.013;1.168;1.045
1 de enero de 2018;11. Carabanchel;113. San Isidro;15.000;1.307;1.248
1 de enero de 2018;11. Carabanchel;114. Vista Alegre;17.125;1.192;1.054
1 de enero de 2018;11. Carabanchel;115. Puerta Bonita;12.319;863;865
1 de enero de 2018;11. Carabanchel;116. Buenavista;16.947;1.335;1.567
1 de enero de 2018;11. Carabanchel;117. Abrantes;10.906;721;710
1 de enero de 2018;12. Usera;12. Usera;49.544;3.322;3.610
1 de enero de 2018;12. Usera;121. Orcasitas;8.429;457;498
1 de enero de 2018;12. Usera;122. Orcasur;4.692;337;386
1 de enero de 2018;12. Usera;123. San Fermín;8.210;510;678
1 de enero de 2018;12. Usera;124. Almendrales;7.619;581;613
1 de enero de 2018;12. Usera;125. Moscardó;9.689;718;720
1 de enero de 2018;12. Usera;126. Zofío;4.961;319;324
1 de enero de 2018;12. Usera;127. Pradolongo;5.944;400;391
1 de enero de 2018;13. Puente de Vallecas;13. Puente de Vallecas;87.721;6.505;7.176
1 de enero de 2018;13. Puente de Vallecas;131. Entrevías;12.621;748;854
1 de enero de 2018;13. Puente de Vallecas;132. San Diego;15.589;1.471;1.749
1 de enero de 2018;13. Puente de Vallecas;133. Palomeras Bajas;14.923;1.110;1.106
1 de enero de 2018;13. Puente de Vallecas;134. Palomeras Sureste;15.908;955;1.164
1 de enero de 2018;13. Puente de Vallecas;135. Portazgo;10.702;714;719
1 de enero de 2018;13. Puente de Vallecas;136. Numancia;17.978;1.507;1.584
1 de enero de 2018;14. Moratalaz;14. Moratalaz;37.450;2.367;2.197
1 de enero de 2018;14. Moratalaz;141. Pavones;3.268;159;160
1 de enero de 2018;14. Moratalaz;142. Horcajo;2.162;159;162
1 de enero de 2018;14. Moratalaz;143. Marroquina;10.822;631;557
1 de enero de 2018;14. Moratalaz;144. Media Legua;7.143;491;414
1 de enero de 2018;14. Moratalaz;145. Fontarrón;6.846;422;448
1 de enero de 2018;14. Moratalaz;146. Vinateros;7.209;505;456
1 de enero de 2018;15. Ciudad Lineal;15. Ciudad Lineal;86.156;7.411;6.357
1 de enero de 2018;15. Ciudad Lineal;151. Ventas;19.750;1.725;1.485
1 de enero de 2018;15. Ciudad Lineal;152. Pueblo Nuevo;23.750;1.742;1.653
1 de enero de 2018;15. Ciudad Lineal;153. Quintana;10.271;1.089;835
1 de enero de 2018;15. Ciudad Lineal;154. Concepción;9.035;977;749
1 de enero de 2018;15. Ciudad Lineal;155. San Pascual;7.508;648;533
1 de enero de 2018;15. Ciudad Lineal;156. San Juan Bautista;4.821;398;379
1 de enero de 2018;15. Ciudad Lineal;157. Colina;2.529;245;206
1 de enero de 2018;15. Ciudad Lineal;158. Atalaya;560;58;38
1 de enero de 2018;15. Ciudad Lineal;159. Costillares;7.932;529;479
1 de enero de 2018;16. Hortaleza;16. Hortaleza;68.774;4.922;5.362
1 de enero de 2018;16. Hortaleza;161. Palomas;2.202;104;139
1 de enero de 2018;16. Hortaleza;162. Piovera;4.847;324;356
1 de enero de 2018;16. Hortaleza;163. Canillas;15.963;1.080;958
1 de enero de 2018;16. Hortaleza;164. Pinar del Rey;21.134;1.412;1.372
1 de enero de 2018;16. Hortaleza;165. Apóstol Santiago;5.763;353;396
1 de enero de 2018;16. Hortaleza;166. Valdefuentes;18.865;1.649;2.141
1 de enero de 2018;17. Villaverde;17. Villaverde;52.596;2.979;3.590
1 de enero de 2018;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.209;1.009;1.200
1 de enero de 2018;17. Villaverde;172. San Cristóbal;5.063;222;355
1 de enero de 2018;17. Villaverde;173. Butarque;6.389;433;589
1 de enero de 2018;17. Villaverde;174. Los Rosales;13.100;733;824
1 de enero de 2018;17. Villaverde;175. Ángeles;11.835;582;622
1 de enero de 2018;18. Villa de Vallecas;18. Villa de Vallecas;41.449;3.975;4.566
1 de enero de 2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.727;981;1.188
1 de enero de 2018;18. Villa de Vallecas;182. Santa Eugenia;8.865;455;393
1 de enero de 2018;18. Villa de Vallecas;183. Ensanche de Vallecas;17.857;2.539;2.985
1 de enero de 2018;19. Vicálvaro;19. Vicálvaro;25.866;1.683;1.988
1 de enero de 2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.068;750;892
1 de enero de 2018;19. Vicálvaro;192. Valdebernardo;6.086;421;439
1 de enero de 2018;19. Vicálvaro;193. Valderrivas;6.308;467;583
1 de enero de 2018;19. Vicálvaro;194. El Cañaveral;404;45;74
1 de enero de 2018;20. San Blas-Canillejas;20. San Blas-Canillejas;59.462;4.200;4.747
1 de enero de 2018;20. San Blas-Canillejas;201. Simancas;10.716;965;997
1 de enero de 2018;20. San Blas-Canillejas;202. Hellín;3.683;220;250
1 de enero de 2018;20. San Blas-Canillejas;203. Amposta;3.332;213;289
1 de enero de 2018;20. San Blas-Canillejas;204. Arcos;8.965;552;652
1 de enero de 2018;20. San Blas-Canillejas;205. Rosas;11.012;679;668
1 de enero de 2018;20. San Blas-Canillejas;206. Rejas;6.590;647;869
1 de enero de 2018;20. San Blas-Canillejas;207. Canillejas;10.906;651;723
1 de enero de 2018;20. San Blas-Canillejas;208. El Salvador;4.258;273;299
1 de enero de 2018;21. Barajas;21. Barajas;17.843;1.308;1.429
1 de enero de 2018;21. Barajas;211. Alameda de Osuna;7.170;365;358
1 de enero de 2018;21. Barajas;212. Aeropuerto;675;30;75
1 de enero de 2018;21. Barajas;213. Casco Histórico de Barajas;3.064;307;343
1 de enero de 2018;21. Barajas;214. Timón;4.393;420;450
1 de enero de 2018;21. Barajas;215. Corralejos;2.541;186;203
1 de enero de 2019;Ciudad de Madrid;Ciudad de Madrid;1.290.164;117.454;115.691
1 de enero de 2019;01. Centro;01. Centro;67.296;11.627;13.352
1 de enero de 2019;01. Centro;011. Palacio;11.305;1.845;1.951
1 de enero de 2019;01. Centro;012. Embajadores;22.089;3.891;4.361
1 de enero de 2019;01. Centro;013. Cortes;5.406;954;1.111
1 de enero de 2019;01. Centro;014. Justicia;8.582;1.433;1.863
1 de enero de 2019;01. Centro;015. Universidad;16.189;2.890;3.261
1 de enero de 2019;01. Centro;016. Sol;3.725;614;805
1 de enero de 2019;02. Arganzuela;02. Arganzuela;65.005;7.488;6.682
1 de enero de 2019;02. Arganzuela;021. Imperial;9.633;1.062;915
1 de enero de 2019;02. Arganzuela;022. Acacias;15.442;1.700;1.319
1 de enero de 2019;02. Arganzuela;023. Chopera;8.585;934;782
1 de enero de 2019;02. Arganzuela;024. Legazpi;7.628;827;884
1 de enero de 2019;02. Arganzuela;025. Delicias;11.525;1.320;1.205
1 de enero de 2019;02. Arganzuela;026. Palos de la Frontera;11.768;1.602;1.537
1 de enero de 2019;02. Arganzuela;027. Atocha;424;43;40
1 de enero de 2019;03. Retiro;03. Retiro;48.673;4.396;3.795
1 de enero de 2019;03. Retiro;031. Pacífico;14.665;1.561;1.305
1 de enero de 2019;03. Retiro;032. Adelfas;7.613;763;699
1 de enero de 2019;03. Retiro;033. Estrella;8.691;447;392
1 de enero de 2019;03. Retiro;034. Ibiza;9.268;1.052;799
1 de enero de 2019;03. Retiro;035. Los Jerónimos;2.804;228;284
1 de enero de 2019;03. Retiro;036. Niño Jesús;5.632;345;316
1 de enero de 2019;04. Salamanca;04. Salamanca;62.951;8.090;6.365
1 de enero de 2019;04. Salamanca;041. Recoletos;6.664;922;838
1 de enero de 2019;04. Salamanca;042. Goya;13.237;1.802;1.282
1 de enero de 2019;04. Salamanca;043. Fuente del Berro;9.302;1.181;853
1 de enero de 2019;04. Salamanca;044. Guindalera;17.615;2.024;1.696
1 de enero de 2019;04. Salamanca;045. Lista;9.233;1.229;943
1 de enero de 2019;04. Salamanca;046. Castellana;6.900;932;753
1 de enero de 2019;05. Chamartín;05. Chamartín;58.240;5.961;5.170
1 de enero de 2019;05. Chamartín;051. El Viso;6.082;532;464
1 de enero de 2019;05. Chamartín;052. Prosperidad;15.908;1.798;1.478
1 de enero de 2019;05. Chamartín;053. Ciudad Jardín;8.002;927;791
1 de enero de 2019;05. Chamartín;054. Hispanoamérica;12.381;1.145;987
1 de enero de 2019;05. Chamartín;055. Nueva España;9.227;960;826
1 de enero de 2019;05. Chamartín;056. Castilla;6.640;599;624
1 de enero de 2019;06. Tetuán;06. Tetuán;66.428;8.266;7.600
1 de enero de 2019;06. Tetuán;061. Bellas Vistas;11.860;1.411;1.355
1 de enero de 2019;06. Tetuán;062. Cuatro Caminos;15.031;1.901;1.615
1 de enero de 2019;06. Tetuán;063. Castillejos;9.351;1.224;1.145
1 de enero de 2019;06. Tetuán;064. Almenara;9.324;1.060;1.053
1 de enero de 2019;06. Tetuán;065. Valdeacederas;10.607;1.356;1.277
1 de enero de 2019;06. Tetuán;066. Berruguete;10.255;1.314;1.155
1 de enero de 2019;07. Chamberí;07. Chamberí;62.013;8.395;6.916
1 de enero de 2019;07. Chamberí;071. Gaztambide;10.498;1.429;1.162
1 de enero de 2019;07. Chamberí;072. Arapiles;11.195;1.554;1.235
1 de enero de 2019;07. Chamberí;073. Trafalgar;11.718;1.926;1.534
1 de enero de 2019;07. Chamberí;074. Almagro;8.080;950;933
1 de enero de 2019;07. Chamberí;075. Ríos Rosas;12.139;1.596;1.332
1 de enero de 2019;07. Chamberí;076. Vallehermoso;8.383;940;720
1 de enero de 2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;90.495;6.066;6.196
1 de enero de 2019;08. Fuencarral-El Pardo;081. El Pardo;1.315;92;86
1 de enero de 2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1.114;48;49
1 de enero de 2019;08. Fuencarral-El Pardo;083. Peñagrande;16.991;1.066;1.019
1 de enero de 2019;08. Fuencarral-El Pardo;084. Pilar;19.542;1.523;1.367
1 de enero de 2019;08. Fuencarral-El Pardo;085. La Paz;12.550;523;430
1 de enero de 2019;08. Fuencarral-El Pardo;086. Valverde;22.777;1.735;2.061
1 de enero de 2019;08. Fuencarral-El Pardo;087. Mirasierra;10.568;623;662
1 de enero de 2019;08. Fuencarral-El Pardo;088. El Goloso;5.638;456;522
1 de enero de 2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;45.650;3.835;3.819
1 de enero de 2019;09. Moncloa-Aravaca;091. Casa de Campo;5.606;496;544
1 de enero de 2019;09. Moncloa-Aravaca;092. Argüelles;10.401;1.244;1.199
1 de enero de 2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.140;516;506
1 de enero de 2019;09. Moncloa-Aravaca;094. Valdezarza;12.207;954;869
1 de enero de 2019;09. Moncloa-Aravaca;095. Valdemarín;1.913;123;141
1 de enero de 2019;09. Moncloa-Aravaca;096. El Plantío;856;34;47
1 de enero de 2019;09. Moncloa-Aravaca;097. Aravaca;8.527;468;513
1 de enero de 2019;10. Latina;10. Latina;95.217;6.750;6.938
1 de enero de 2019;10. Latina;101. Los Cármenes;6.586;482;538
1 de enero de 2019;10. Latina;102. Puerta del Ángel;17.487;1.790;1.754
1 de enero de 2019;10. Latina;103. Lucero;14.133;984;1.057
1 de enero de 2019;10. Latina;104. Aluche;26.603;1.528;1.419
1 de enero de 2019;10. Latina;105. Campamento;7.401;479;537
1 de enero de 2019;10. Latina;106. Cuatro Vientos;2.193;291;328
1 de enero de 2019;10. Latina;107. Águilas;20.814;1.196;1.305
1 de enero de 2019;11. Carabanchel;11. Carabanchel;95.680;7.471;7.344
1 de enero de 2019;11. Carabanchel;111. Comillas;9.528;881;815
1 de enero de 2019;11. Carabanchel;112. Opañel;13.100;1.158;1.048
1 de enero de 2019;11. Carabanchel;113. San Isidro;15.099;1.314;1.259
1 de enero de 2019;11. Carabanchel;114. Vista Alegre;17.277;1.190;1.059
1 de enero de 2019;11. Carabanchel;115. Puerta Bonita;12.497;881;882
1 de enero de 2019;11. Carabanchel;116. Buenavista;17.143;1.341;1.587
1 de enero de 2019;11. Carabanchel;117. Abrantes;11.036;706;694
1 de enero de 2019;12. Usera;12. Usera;49.780;3.264;3.573
1 de enero de 2019;12. Usera;121. Orcasitas;8.436;445;498
1 de enero de 2019;12. Usera;122. Orcasur;4.724;340;382
1 de enero de 2019;12. Usera;123. San Fermín;8.263;492;661
1 de enero de 2019;12. Usera;124. Almendrales;7.646;572;585
1 de enero de 2019;12. Usera;125. Moscardó;9.763;729;718
1 de enero de 2019;12. Usera;126. Zofío;4.990;308;333
1 de enero de 2019;12. Usera;127. Pradolongo;5.958;378;396
1 de enero de 2019;13. Puente de Vallecas;13. Puente de Vallecas;88.465;6.629;7.213
1 de enero de 2019;13. Puente de Vallecas;131. Entrevías;12.686;761;865
1 de enero de 2019;13. Puente de Vallecas;132. San Diego;15.846;1.499;1.748
1 de enero de 2019;13. Puente de Vallecas;133. Palomeras Bajas;15.013;1.129;1.110
1 de enero de 2019;13. Puente de Vallecas;134. Palomeras Sureste;16.007;969;1.164
1 de enero de 2019;13. Puente de Vallecas;135. Portazgo;10.797;733;735
1 de enero de 2019;13. Puente de Vallecas;136. Numancia;18.116;1.538;1.591
1 de enero de 2019;14. Moratalaz;14. Moratalaz;37.547;2.427;2.254
